Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-05 07:51:13 IST","2018-04-05 07:51:13 IST","2018-04-05 07:51:13 IST","2018-04-05 07:41:14 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/.",,,,
"[parent folder]","2018-04-05 07:41:14 IST","2018-04-05 07:41:14 IST","2018-04-05 07:41:14 IST","2018-03-28 06:23:56 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/..",,,,
"AIRPORT INFORMATION.docx","2018-04-04 10:29:32 IST","2018-04-05 07:51:10 IST","2018-04-05 07:51:10 IST","2018-04-04 10:29:32 IST",172684,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/AIRPORT INFORMATION.docx","297eec248647f33f887d72328ab56f3c","1fb5577d8559562d97ac3023e0ca91cc6b8b55d2e5fabaa81160c109f0abf9b6","application/vnd.openxmlformats-officedocument.wordprocessingml.document",docx
BladeofGrass.jpg,"2018-03-31 09:45:53 IST","2018-04-05 07:51:13 IST","2018-04-05 07:51:12 IST","2018-03-31 09:45:53 IST",201810,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/BladeofGrass.jpg","3e504c694bee6b0b7ba71f11951641f0","332198b9cf31dee862ade4c39281855bfa6357f085be47a66385c427f5a1f16b",image/jpeg,jpg
CubaDearmed.jpg,"2018-03-31 02:52:56 IST","2018-04-05 07:51:10 IST","2018-04-05 07:51:10 IST","2018-03-31 02:52:56 IST",83378,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/CubaDearmed.jpg","9ec096ac9387c1e3f986e7f1c3ffd576","51d09821a58bf2e4e8edb746e95c7ecc9915848848488701d386912d7fa7cdc3",image/jpeg,jpg
DarkWolf.png,"2018-03-30 09:03:51 IST","2018-04-05 07:51:12 IST","2018-04-05 07:51:12 IST","2018-03-30 09:03:51 IST",603749,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/DarkWolf.png","831d863f03c16b4da76428aa46505e89","a25c4af6fa68d12f7e1882389e8c906b214703a275b46255b5a4fe41202f7869",image/png,png
DeathToll.jpg,"2018-03-31 09:46:22 IST","2018-04-05 07:51:01 IST","2018-04-05 07:51:01 IST","2018-03-31 09:46:22 IST",61596,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/DeathToll.jpg","f52a3425e4c8862c2e52cf406c659edb","12c63997396c4e9edfcfa56973ec86adc0ab6e56d40697403587c6e510a2b364",image/jpeg,jpg
DemLogic.jpg,"2018-03-31 09:49:35 IST","2018-04-05 07:51:02 IST","2018-04-05 07:51:02 IST","2018-03-31 09:49:35 IST",24465,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/DemLogic.jpg","7e3661d8df1c0c65b7dae89fe5425906","ee063a8c426fe728c499689373313e31c4b1b8eb6c6164036b34fab81a444831",image/jpeg,jpg
HoldMyTidePod.jpg,"2018-03-30 08:59:20 IST","2018-04-05 07:51:03 IST","2018-04-05 07:51:03 IST","2018-03-30 08:59:20 IST",43525,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/HoldMyTidePod.jpg","6f51d454eed43b6468b0909a5781eedc","a0ec772b74d76f2c5dff74f8be08fda94f7599e859224875d65cb947c177456b",image/jpeg,jpg
Huckleberry.png,"2018-03-31 09:53:25 IST","2018-04-05 07:51:05 IST","2018-04-05 07:51:05 IST","2018-03-31 09:53:25 IST",306471,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop/Huckleberry.png","33743a24bdff989a72b65e76b7c762fc","15ebd6a63d771ebe4da41c947ffb3431fc4dfedf9ad85e582a16f5e3c082bac2",image/png,png
