Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-06 18:25:12 IST","2018-04-06 18:25:12 IST","2018-04-06 18:25:12 IST","2018-03-27 15:02:51 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/.",,,,
"[parent folder]","2018-04-06 18:19:35 IST","2018-04-06 18:19:35 IST","2018-04-06 18:19:35 IST","2018-03-27 15:02:51 IST",168,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/..",,,,
"Application Cache","2018-03-30 07:56:10 IST","2018-03-30 07:56:10 IST","2018-03-30 07:56:10 IST","2018-03-30 07:56:10 IST",456,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Application Cache",,,,
blob_storage,"2018-03-29 10:27:40 IST","2018-03-29 10:27:40 IST","2018-03-29 10:27:40 IST","2018-03-29 10:27:40 IST",312,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/blob_storage",,,,
Cache,"2018-04-06 17:58:03 IST","2018-04-06 17:58:03 IST","2018-04-06 17:58:03 IST","2018-03-27 15:02:52 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Cache",,,,
"data_reduction_proxy_leveldb","2018-03-28 04:59:48 IST","2018-03-28 04:59:48 IST","2018-03-28 04:59:48 IST","2018-03-27 15:02:52 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/data_reduction_proxy_leveldb",,,,
databases,"2018-03-31 10:14:01 IST","2018-03-31 10:14:01 IST","2018-03-31 10:14:01 IST","2018-03-27 15:28:55 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/databases",,,,
"Download Service","2018-03-27 15:02:52 IST","2018-03-27 15:02:52 IST","2018-03-27 15:02:52 IST","2018-03-27 15:02:52 IST",240,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Download Service",,,,
"Extension Rules","2018-03-28 06:13:24 IST","2018-03-28 06:13:24 IST","2018-03-28 06:13:24 IST","2018-03-27 15:02:54 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Extension Rules",,,,
"Extension State","2018-03-28 04:59:49 IST","2018-03-28 04:59:49 IST","2018-03-28 04:59:49 IST","2018-03-27 15:02:54 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Extension State",,,,
Extensions,"2018-04-03 11:28:09 IST","2018-04-03 11:28:09 IST","2018-04-03 11:28:09 IST","2018-03-27 15:02:54 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Extensions",,,,
"Feature Engagement Tracker","2018-03-28 04:59:55 IST","2018-03-28 04:59:55 IST","2018-03-28 04:59:55 IST","2018-03-28 04:59:55 IST",360,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Feature Engagement Tracker",,,,
"File System","2018-04-03 11:36:48 IST","2018-04-03 11:36:48 IST","2018-04-03 11:36:48 IST","2018-03-27 15:29:06 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/File System",,,,
"GCM Store","2018-03-28 04:59:48 IST","2018-03-28 04:59:48 IST","2018-03-28 04:59:48 IST","2018-03-27 15:28:48 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/GCM Store",,,,
GPUCache,"2018-04-04 10:20:13 IST","2018-04-04 10:20:13 IST","2018-04-04 10:20:13 IST","2018-03-27 15:02:52 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/GPUCache",,,,
IndexedDB,"2018-04-06 09:14:17 IST","2018-04-06 09:14:17 IST","2018-04-06 09:14:17 IST","2018-03-27 15:28:55 IST",360,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/IndexedDB",,,,
JumpListIconsMostVisited,"2018-04-06 17:56:16 IST","2018-04-06 17:56:16 IST","2018-04-06 17:56:16 IST","2018-03-28 05:08:25 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/JumpListIconsMostVisited",,,,
"JumpListIconsRecentClosed","2018-04-06 09:38:03 IST","2018-04-06 09:38:03 IST","2018-04-06 09:38:03 IST","2018-03-28 05:08:25 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/JumpListIconsRecentClosed",,,,
"Local Extension Settings","2018-03-27 15:03:02 IST","2018-03-27 15:03:02 IST","2018-03-27 15:03:02 IST","2018-03-27 15:03:02 IST",304,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Local Extension Settings",,,,
"Local Storage","2018-03-27 15:02:56 IST","2018-03-27 15:02:56 IST","2018-03-27 15:02:56 IST","2018-03-27 15:02:56 IST",144,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Local Storage",,,,
"Media Cache","2018-04-06 13:55:26 IST","2018-04-06 13:55:26 IST","2018-04-06 13:55:26 IST","2018-03-27 15:29:07 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Media Cache",,,,
"Service Worker","2018-03-27 15:28:55 IST","2018-03-27 15:28:55 IST","2018-03-27 15:28:55 IST","2018-03-27 15:28:55 IST",576,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Service Worker",,,,
"Session Storage","2018-04-06 18:18:46 IST","2018-04-06 18:18:46 IST","2018-04-06 18:18:46 IST","2018-03-27 15:29:00 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Session Storage",,,,
Storage,"2018-03-27 15:02:52 IST","2018-03-27 15:02:52 IST","2018-03-27 15:02:52 IST","2018-03-27 15:02:52 IST",136,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Storage",,,,
"Sync Data","2018-03-27 15:28:48 IST","2018-03-27 15:28:48 IST","2018-03-27 15:28:48 IST","2018-03-27 15:02:52 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Sync Data",,,,
"Sync Extension Settings","2018-03-27 15:02:56 IST","2018-03-27 15:02:56 IST","2018-03-27 15:02:56 IST","2018-03-27 15:02:56 IST",304,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Sync Extension Settings",,,,
Thumbnails,"2018-03-28 04:59:48 IST","2018-03-28 04:59:48 IST","2018-03-28 04:59:48 IST","2018-03-27 15:02:52 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Thumbnails",,,,
VideoDecodeStats,"2018-03-28 05:15:00 IST","2018-03-28 05:15:00 IST","2018-03-28 05:15:00 IST","2018-03-28 05:15:00 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/VideoDecodeStats",,,,
"Affiliation Database","2018-03-27 15:28:54 IST","2018-03-27 15:28:54 IST","2018-03-27 15:28:54 IST","2018-03-27 15:28:54 IST",28672,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Affiliation Database","483373a3815ae2c5d36ce09451119c5c","101e191cd16b3fd8ed0a1e15a4e6714cb1daaab55af02143a5673421a57158f5",application/x-sqlite3,
"Affiliation Database-journal","2018-03-27 15:28:54 IST","2018-03-27 15:28:54 IST","2018-03-27 15:28:54 IST","2018-03-27 15:28:54 IST",0,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Affiliation Database-journal","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,
Bookmarks,"2018-03-27 15:28:57 IST","2018-03-27 15:28:57 IST","2018-03-27 15:28:57 IST","2018-03-27 15:28:57 IST",797,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Bookmarks","24bdbb8f2cbf7de02e58a838976e679e","49973bbd8574f696fd94687bcf895dd9406c2c8f0a502985363352bc907f177b",text/plain,
Cookies,"2018-04-06 18:25:12 IST","2018-04-06 18:25:12 IST","2018-03-27 15:02:54 IST","2018-03-27 15:02:54 IST",2015232,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Cookies","a917d1ed83b2646dbf99f45c0c20297b","6b1920fa6e63b58d842a8690e46ffbdab331854f4a20590689f115f556b41e0e",application/x-sqlite3,
Cookies-journal,"2018-04-06 18:25:12 IST","2018-04-06 18:25:12 IST","2018-03-27 15:02:54 IST","2018-03-27 15:02:54 IST",0,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Cookies-journal","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,
"Current Session","2018-04-06 18:04:45 IST","2018-04-06 18:04:45 IST","2018-03-28 04:59:48 IST","2018-03-27 15:02:54 IST",865707,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Current Session","3af4209b7607a7858773417da1ddebfa","404df08a9eb907ae60e551368bbe35cbe8922f7fb9d3634aadcdea047a06156a",application/octet-stream,
"Current Tabs","2018-04-06 09:38:19 IST","2018-04-06 09:38:19 IST","2018-03-28 05:08:21 IST","2018-03-27 15:03:15 IST",1993118,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/Current Tabs","fb2fb6d8608e6b50ff7b83688f45f883","7ee92e6fdf4d9c141c83849919ac3380d971e3aa46912e54fdb7c7856c4cb405",application/octet-stream,
DownloadMetadata,"2018-03-28 05:48:53 IST","2018-03-28 05:48:53 IST","2018-03-28 05:48:53 IST","2018-03-28 05:20:52 IST",6603,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData/Local/Google/Chrome/User Data/Default/DownloadMetadata","69f13dff6f365186d4cf149b9fa5b8fa","b22990bae49649ebf7bcb89104ba70fdfc4b66ad79b803297fdd4a20bc8deb79",application/octet-stream,
