Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-03-27 14:48:58 IST",176,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/.",,,,
"[parent folder]","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-27 14:48:58 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/..",,,,
.tmp.drivedownload,"2018-04-06 14:00:04 IST","2018-04-06 14:00:04 IST","2018-04-06 14:00:04 IST","2018-03-28 06:13:53 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/.tmp.drivedownload",,,,
"Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'_files","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Allocated,Allocated,unknown,,,,,
"Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Allocated,Allocated,unknown,,,,,
"AIRPORT INFORMATION.docx","2018-04-04 10:29:32 IST","2018-04-04 10:29:40 IST","2018-04-04 10:29:32 IST","2018-03-30 07:59:57 IST",172684,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/AIRPORT INFORMATION.docx","297eec248647f33f887d72328ab56f3c","1fb5577d8559562d97ac3023e0ca91cc6b8b55d2e5fabaa81160c109f0abf9b6","application/vnd.openxmlformats-officedocument.wordprocessingml.document",docx
AMEN.pdf,"2018-04-06 09:25:03 IST","2018-04-06 09:25:13 IST","2018-04-06 09:25:02 IST","2018-04-06 09:25:00 IST",371701,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/AMEN.pdf","5c21578283b9c5cc058f4faa2d5365ee","c92b417cb72aaa39e0e7ec891a593be41a0a5f44e0025747c93cdea9f4248170",application/pdf,pdf
BladeofGrass.jpg,"2018-03-31 09:45:53 IST","2018-04-02 06:42:46 IST","2018-03-31 09:45:36 IST","2018-03-31 09:45:53 IST",201810,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/BladeofGrass.jpg","3e504c694bee6b0b7ba71f11951641f0","332198b9cf31dee862ade4c39281855bfa6357f085be47a66385c427f5a1f16b",image/jpeg,jpg
"BladeofGrass.jpg:Zone.Identifier","2018-03-31 09:45:53 IST","2018-04-02 06:42:46 IST","2018-03-31 09:45:36 IST","2018-03-31 09:45:53 IST",149,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/BladeofGrass.jpg:Zone.Identifier","f31f169f4329c0d0e2e791360729bd6d","c5e1fcbedc2da82b9418a24d49e3ea3184d81867dde20c12ad49314c61522131",text/plain,jpg
"Box Sync.lnk","2018-03-28 06:23:57 IST","2018-03-28 06:24:04 IST","2018-03-28 06:23:57 IST","2018-03-28 06:23:57 IST",1606,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Box Sync.lnk","223a2c3d0845dc316fc55d9703ff98bb","5c5078bc9d9af3169a0359308281b5b29a674a3619a84cb1576943bbc97a265f",application/octet-stream,lnk
"Cloudy thoughts (4apr).docx","2018-04-05 08:09:30 IST","2018-04-05 08:09:41 IST","2018-04-05 08:09:30 IST","2018-04-05 08:09:29 IST",12547,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Cloudy thoughts (4apr).docx","f8c2bc733c109a88405dfd13b47d0690","37cd60bccb8cf01fd36be13d89e5df64749bcc072133d3bad1ed0c430e436dfd","application/vnd.openxmlformats-officedocument.wordprocessingml.document",docx
CubaDearmed.jpg,"2018-03-31 02:52:56 IST","2018-04-02 06:42:20 IST","2018-03-31 02:52:40 IST","2018-03-31 02:52:55 IST",83378,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/CubaDearmed.jpg","9ec096ac9387c1e3f986e7f1c3ffd576","51d09821a58bf2e4e8edb746e95c7ecc9915848848488701d386912d7fa7cdc3",image/jpeg,jpg
"CubaDearmed.jpg:Zone.Identifier","2018-03-31 02:52:56 IST","2018-04-02 06:42:20 IST","2018-03-31 02:52:40 IST","2018-03-31 02:52:55 IST",149,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/CubaDearmed.jpg:Zone.Identifier","67d2daf0e5a7ba85df80f8d0ca2c3cc9","0e5a08dea9b4269f63b1f55e74d14c478c43f6098dd24110345be430cf8b26ab",text/plain,jpg
"Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html","2018-04-05 07:50:17 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:31 IST","2018-03-30 10:02:25 IST",286463,Unallocated,Unallocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",,,,html
DarkWolf.png,"2018-03-30 09:03:51 IST","2018-04-02 06:42:46 IST","2018-03-30 09:03:41 IST","2018-03-30 09:03:50 IST",603749,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/DarkWolf.png","831d863f03c16b4da76428aa46505e89","a25c4af6fa68d12f7e1882389e8c906b214703a275b46255b5a4fe41202f7869",image/png,png
"DarkWolf.png:Zone.Identifier","2018-03-30 09:03:51 IST","2018-04-02 06:42:46 IST","2018-03-30 09:03:41 IST","2018-03-30 09:03:50 IST",161,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/DarkWolf.png:Zone.Identifier","182bdbc1f625a14fbffae9258efe39b0","9de886aa6e47f79c575420c4c356e193f54433f20e492f0f615f0323008385a4",text/plain,png
DeathToll.jpg,"2018-03-31 09:46:22 IST","2018-04-02 06:40:19 IST","2018-03-31 09:46:11 IST","2018-03-31 09:46:22 IST",61596,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/DeathToll.jpg","f52a3425e4c8862c2e52cf406c659edb","12c63997396c4e9edfcfa56973ec86adc0ab6e56d40697403587c6e510a2b364",image/jpeg,jpg
"DeathToll.jpg:Zone.Identifier","2018-03-31 09:46:22 IST","2018-04-02 06:40:19 IST","2018-03-31 09:46:11 IST","2018-03-31 09:46:22 IST",150,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/DeathToll.jpg:Zone.Identifier","443bc040355e4259342d5be0398b63ca","361beb578a31d1867d0eeb089549907e76a5fa8ee49b0ad310bb35bbfa03351d",text/plain,jpg
DemLogic.jpg,"2018-03-31 09:49:35 IST","2018-04-02 06:42:46 IST","2018-03-31 09:49:19 IST","2018-03-31 09:49:35 IST",24465,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/DemLogic.jpg","7e3661d8df1c0c65b7dae89fe5425906","ee063a8c426fe728c499689373313e31c4b1b8eb6c6164036b34fab81a444831",image/jpeg,jpg
