Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-03-27 14:48:58 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/.",,,,
"[parent folder]","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-27 14:48:58 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/..",,,,
"33448689-658f-40a9-9ffb-8c391aeab7bb.tmp","2018-03-30 10:02:26 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:26 IST","2018-03-30 10:02:26 IST",71789,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/33448689-658f-40a9-9ffb-8c391aeab7bb.tmp","eb83cde8a5fe331f67f8219185b2458f","23952dec06618a14549753cd235e98a7446a3906f482b88595dab9b921286e52",text/plain,tmp
"3671bb7b-c3ef-4fa3-9881-3799cf65138b.tmp","2018-03-30 10:02:29 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:29 IST","2018-03-30 10:02:29 IST",164,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/3671bb7b-c3ef-4fa3-9881-3799cf65138b.tmp","7f747126fbabf0f97b4567ee2f675fd6","1a7608cad56a4bf3205f01c9aa122e2d5b97efbaf72f1560f3d2da2810813f0a",text/plain,tmp
"3818a6ca-a39c-4d5a-ae38-66657028a869.tmp","2018-03-30 10:02:27 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:27 IST","2018-03-30 10:02:27 IST",42,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/3818a6ca-a39c-4d5a-ae38-66657028a869.tmp","d89746888da2d9510b64a9f031eaecd5","ef1955ae757c8b966c83248350331bd3a30f658ced11f387f8ebf05ab3368629",image/gif,tmp
"3c599350-2710-4f91-8bf5-10df1654a565.tmp","2018-03-30 10:02:31 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:31 IST","2018-03-30 10:02:31 IST",1340,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/3c599350-2710-4f91-8bf5-10df1654a565.tmp","341c8333e011e09501d3eec081e34bf2","5064e081c4d41fa98da54adeb2f35787bfecdf7bd71aeb49e81357dec7173424",text/html,tmp
"3cb0bfdc-ad96-4102-97b7-d4d9386eefdf.tmp","2018-03-30 10:02:30 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:30 IST","2018-03-30 10:02:30 IST",764,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/3cb0bfdc-ad96-4102-97b7-d4d9386eefdf.tmp","dd47b4ee98d938e68d8ba9491762b4b0","4eb61223e32341dbb3599bac1af53fa7f0658620a8f5c26ebda585df76caddf7",text/html,tmp
"3f17f8a6-a252-4bd9-9f66-1da63973c6f7.tmp","2018-03-30 10:02:29 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:29 IST","2018-03-30 10:02:29 IST",133,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/3f17f8a6-a252-4bd9-9f66-1da63973c6f7.tmp","fb7f7c012ae22196df874a68990e7ced","ad3f5743027d58f0c5e8b2f074edc3fb50e776ddecdb8a90531fd30407d6ff48",text/plain,tmp
"4115ad88-49b4-41e8-8807-3a663a2e4bf6.tmp","2018-03-30 10:02:29 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:29 IST","2018-03-30 10:02:29 IST",403,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/4115ad88-49b4-41e8-8807-3a663a2e4bf6.tmp","6d669beec382fdc964fe03394a8a053a","4bf57105eb82e3f57418f4712739f3bbaa2be7439b525494cd8f943dc271f2ea",text/plain,tmp
"77a022dc-7b66-4db2-a77e-955ae1e3cae9.tmp","2018-03-30 10:02:30 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:30 IST","2018-03-30 10:02:30 IST",59341,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/77a022dc-7b66-4db2-a77e-955ae1e3cae9.tmp","52dce7dbafd8090ca7e0023c5018649c","ed9f152f501a1cbb421e44d7fc5b61916f7498421d3570957c7a4b233011d813",text/plain,tmp
