Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-04 10:38:44 IST","2018-04-04 10:38:44 IST","2018-04-04 10:38:44 IST","2018-04-03 12:07:38 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/.",,,,
"[parent folder]","2018-04-03 12:07:38 IST","2018-04-03 12:07:38 IST","2018-04-03 12:07:38 IST","2018-03-27 15:20:13 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/..",,,,
"2018-04-03 (1).png","2018-04-03 12:09:37 IST","2018-04-03 12:09:37 IST","2018-04-03 12:09:37 IST","2018-04-03 12:09:37 IST",471019,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-03 (1).png","48aba05ea5a9beaea4233fde3f779ca0","9fc79e46f08d8e6fce694150ec9fe19c160570ebb6b83dbee796943b42a2e7c8",image/png,png
"2018-04-03 (2).png","2018-04-03 12:10:34 IST","2018-04-03 12:10:34 IST","2018-04-03 12:10:34 IST","2018-04-03 12:10:34 IST",293431,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-03 (2).png","2dc9698127adf2c7b13c095b346dc01a","3aa6f15e808029c6b5e760c0a76fe4ae5e0ec237900b42b249a06a685543f98a",image/png,png
"2018-04-03 (3).png","2018-04-03 12:13:24 IST","2018-04-03 12:13:24 IST","2018-04-03 12:13:24 IST","2018-04-03 12:13:24 IST",1916300,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-03 (3).png","7ce56c81bac0ff90588934c340dbf9be","5ee0e3574d363e022e814b6d184a453e5c3754ecba5db26c491efca0d08db5b7",image/png,png
2018-04-03.png,"2018-04-03 12:07:42 IST","2018-04-03 12:07:42 IST","2018-04-03 12:07:42 IST","2018-04-03 12:07:42 IST",139970,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-03.png","16003413321536cda318dc683a3c1aeb","d01f1faacbf1d6ace677d66006b8485c3b92936090127f7a75e311145ad68745",image/png,png
"2018-04-04 (1).png","2018-04-04 10:21:05 IST","2018-04-04 10:21:05 IST","2018-04-04 10:21:05 IST","2018-04-04 10:21:05 IST",354371,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-04 (1).png","0cd1b7d82b83c6d97774f846a86f51eb","4d017a41dd0a4e6513f20859b0475025e8bfd2af3b80a3f3f76b3b1a3d45c423",image/png,png
"2018-04-04 (2).png","2018-04-04 10:35:08 IST","2018-04-04 10:35:08 IST","2018-04-04 10:35:08 IST","2018-04-04 10:35:08 IST",96984,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-04 (2).png","067fa0bf7f023038814fea5167930094","2e2925c6a2610fb7336ff3cc3d28fd05caaa252e8a8167dd785a8b6b0469566a",image/png,png
"2018-04-04 (3).png","2018-04-04 10:35:33 IST","2018-04-04 10:35:33 IST","2018-04-04 10:35:33 IST","2018-04-04 10:35:33 IST",96453,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-04 (3).png","2c437a0a46af89d53faba9ff59f3f2c2","96095ef4111eea243dd902ad73bfc499ed042b23e99b6a2557ee50d5bbb71fa9",image/png,png
"2018-04-04 (4).png","2018-04-04 10:38:44 IST","2018-04-04 10:38:44 IST","2018-04-04 10:38:44 IST","2018-04-04 10:38:44 IST",570283,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-04 (4).png","aec7a695a20b93763be24f32b94b3d3d","1159f2597999f22cc42a4880f24db34b2f0a2edbc2b684acb8a8a3a3b26f5303",image/png,png
2018-04-04.png,"2018-04-04 10:05:29 IST","2018-04-04 10:05:29 IST","2018-04-04 10:05:29 IST","2018-04-04 10:05:29 IST",1788565,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots/2018-04-04.png","25a2898049a305b92dc022ca526f2ddf","629560219e4c7e5633de1eafe046a835d728520afc7541715f9f366dd48a42e2",image/png,png
