Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-27 14:48:58 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/.",,,,
"[parent folder]","2018-03-27 15:06:33 IST","2018-03-27 15:06:33 IST","2018-03-27 15:06:33 IST","2017-09-29 14:15:11 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/..",,,,
"3D Objects","2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:50:00 IST",152,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/3D Objects",,,,
AppData,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",344,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/AppData",,,,
"Application Data","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Application Data",,,,
"Box Sync","2018-04-05 07:41:14 IST","2018-04-05 07:41:14 IST","2018-04-05 07:41:14 IST","2018-03-28 06:23:56 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync",,,,
Contacts,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:50:00 IST",152,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Contacts",,,,
Cookies,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Cookies",,,,
Desktop,"2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-03-27 14:48:58 IST",176,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop",,,,
Documents,"2018-03-30 07:46:22 IST","2018-03-30 07:46:22 IST","2018-03-30 07:46:22 IST","2018-03-27 14:48:58 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Documents",,,,
Downloads,"2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-04-06 14:00:22 IST","2018-03-27 14:48:58 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads",,,,
Dropbox,"2018-04-06 18:05:29 IST","2018-04-06 18:05:29 IST","2018-04-06 18:05:29 IST","2018-03-28 05:36:27 IST",168,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Dropbox",,,,
Favorites,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:48:58 IST",352,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Favorites",,,,
"Google Drive","2018-04-04 11:01:54 IST","2018-04-04 11:01:54 IST","2018-04-04 11:01:54 IST","2018-03-28 06:13:22 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive",,,,
IntelGraphicsProfiles,"2018-03-28 03:15:45 IST","2018-03-28 03:15:45 IST","2018-03-28 03:15:45 IST","2018-03-27 15:26:44 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/IntelGraphicsProfiles",,,,
Links,"2018-04-04 11:29:40 IST","2018-04-04 11:29:40 IST","2018-04-04 11:29:40 IST","2018-03-27 14:48:58 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Links",,,,
"Local Settings","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Local Settings",,,,
MicrosoftEdgeBackups,"2018-03-27 14:59:01 IST","2018-03-27 14:59:01 IST","2018-03-27 14:59:01 IST","2018-03-27 14:59:01 IST",144,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/MicrosoftEdgeBackups",,,,
Music,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:48:58 IST",152,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Music",,,,
"My Documents","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/My Documents",,,,
NetHood,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/NetHood",,,,
OneDrive,"2018-04-05 07:51:38 IST","2018-04-05 07:51:38 IST","2018-04-05 07:51:38 IST","2018-03-27 14:51:44 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive",,,,
Pictures,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:51:12 IST","2018-03-27 14:48:58 IST",576,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Pictures",,,,
PrintHood,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/PrintHood",,,,
Recent,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Recent",,,,
"Saved Games","2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:48:58 IST",152,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Saved Games",,,,
Searches,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:51:07 IST","2018-03-27 14:50:00 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Searches",,,,
SendTo,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/SendTo",,,,
"Start Menu","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Start Menu",,,,
Templates,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Templates",,,,
Videos,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:48:58 IST",152,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Videos",,,,
NTUSER.DAT,"2018-03-28 03:15:21 IST","2018-03-27 14:48:58 IST","2018-03-28 03:15:21 IST","2018-03-27 14:48:58 IST",2359296,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/NTUSER.DAT","da9798b0c6209d440a17b32aad556697","e46bc2eb6384afa811ca1764b86f14a92bc72617e706b5feb76db7974c4b613c","application/x.windows-registry",dat
