Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension,Location
"$OrphanFiles","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Allocated,Allocated,unknown,,,,,
"$CarvedFiles","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Allocated,Allocated,unknown,,,,,
"$Extend","2018-03-27 18:37:33 IST","2018-03-27 18:37:33 IST","2018-03-27 18:37:33 IST","2018-03-27 18:37:33 IST",656,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/$Extend"
"$Recycle.Bin","2018-04-04 10:03:29 IST","2018-04-04 10:03:29 IST","2018-04-04 10:03:29 IST","2017-09-29 19:16:33 IST",432,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/$Recycle.Bin"
"$Unalloc","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Allocated,Allocated,unknown,,,,,
"[current folder]","2018-04-04 11:29:44 IST","2018-04-04 11:29:44 IST","2018-04-04 11:29:44 IST","2017-09-29 14:15:11 IST",56,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/."
Config.Msi,"2018-03-30 01:53:31 IST","2018-03-30 01:53:31 IST","2018-03-30 01:53:31 IST","2018-03-30 01:53:16 IST",168,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Config.Msi"
"Documents and Settings","2018-03-27 17:43:21 IST","2018-03-27 17:43:21 IST","2018-03-27 17:43:21 IST","2018-03-27 17:43:21 IST",48,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Documents and Settings"
Intel,"2018-03-27 14:53:49 IST","2018-03-27 14:53:49 IST","2018-03-27 14:53:49 IST","2018-03-27 14:53:49 IST",144,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Intel"
OneDriveTemp,"2018-04-04 11:29:44 IST","2018-04-04 11:29:44 IST","2018-04-04 11:29:44 IST","2018-04-04 11:29:44 IST",328,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/OneDriveTemp"
PerfLogs,"2017-12-14 07:10:05 IST","2018-03-27 18:40:29 IST","2017-12-14 07:10:05 IST","2017-09-29 19:16:33 IST",144,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/PerfLogs"
"Program Files","2018-03-28 06:14:07 IST","2018-03-28 06:14:07 IST","2018-03-28 06:14:07 IST","2017-09-29 19:16:33 IST",168,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Program Files"
"Program Files (x86)","2018-03-28 05:33:22 IST","2018-03-28 05:33:22 IST","2018-03-28 05:33:22 IST","2017-09-29 19:16:33 IST",56,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Program Files (x86)"
ProgramData,"2018-03-28 06:14:06 IST","2018-03-28 06:14:06 IST","2018-03-28 06:14:06 IST","2017-09-29 19:16:33 IST",56,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/ProgramData"
Recovery,"2018-03-27 17:43:23 IST","2018-03-27 17:43:23 IST","2018-03-27 17:43:23 IST","2018-03-27 17:43:23 IST",48,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Recovery"
"System Volume Information","2018-04-04 12:02:08 IST","2018-04-04 12:02:08 IST","2018-04-04 12:02:08 IST","2018-03-27 17:41:44 IST",56,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/System Volume Information"
Users,"2018-03-27 15:06:33 IST","2018-03-27 15:06:33 IST","2018-03-27 15:06:33 IST","2017-09-29 14:15:11 IST",56,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Users"
Windows,"2018-03-27 15:26:18 IST","2018-03-27 15:26:18 IST","2018-03-27 15:26:18 IST","2017-09-29 14:15:11 IST",56,Allocated,Allocated,unknown,,,,,"/img_LoneWolf.E01/vol_vol7/Windows"
